show_id,title,director,genres,cast,production_country,release_year,rating,duration,imdb_score,content_type,date_added
2b38ea7a-a12e-41dc-9426-82df88c47700,Everything About Her,Joyce Bernal,Comedies,"Angel Locsin, Xian Lim, Vilma Santos, Michael De Mesa, Nonie Buencamino, Khalil Ramos, Devon Seron, Alexa Ilacad, Nor Domingo, Robert Villar",Philippines,2016,TV-MA,127 min,7.3,Movie,2019-03-14
2b38ea7a-a12e-41dc-9426-82df88c47700,Everything About Her,Joyce Bernal,Dramas,"Angel Locsin, Xian Lim, Vilma Santos, Michael De Mesa, Nonie Buencamino, Khalil Ramos, Devon Seron, Alexa Ilacad, Nor Domingo, Robert Villar",Philippines,2016,TV-MA,127 min,7.3,Movie,2019-03-14
2b38ea7a-a12e-41dc-9426-82df88c47700,Everything About Her,Joyce Bernal,International Movies,"Angel Locsin, Xian Lim, Vilma Santos, Michael De Mesa, Nonie Buencamino, Khalil Ramos, Devon Seron, Alexa Ilacad, Nor Domingo, Robert Villar",Philippines,2016,TV-MA,127 min,7.3,Movie,2019-03-14
3f9ee682-c2a7-4f16-bdd8-fab9d3f281fc,Everything Sucks!,,TV Comedies,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle",United States,2018,TV-14,1 Season,7.6,TV Show,
3f9ee682-c2a7-4f16-bdd8-fab9d3f281fc,Everything Sucks!,,TV Dramas,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle",United States,2018,TV-14,1 Season,7.6,TV Show,
3f9ee682-c2a7-4f16-bdd8-fab9d3f281fc,Everything Sucks!,,Teen TV Shows,"Jahi Di'Allo Winston, Peyton Kennedy, Patch Darragh, Claudine Mboligikpelani Nako, Rio Mangini, Quinn Liebling, Sydney Sweeney, Elijah Stevenson, Zachary Ray Sherman, Abi Brittle",United States,2018,TV-14,1 Season,7.6,TV Show,
ab766891-e8dc-46da-bee3-f3b19d7455a3,Evil,,TV Dramas,"Katja Herbers, Mike Colter, Aasif Mandvi, Michael Emerson, Christine Lahti, Kurt Fuller, Marti Matulis",United States,2019,TV-14,1 Season,7.8,TV Show,
df874a64-e1fb-44d2-8cca-1834d9416f89,Evil Genius,"Trey Borzillieri, Barbara Schroeder",Crime TV Shows,,United States,2018,TV-MA,1 Season,7.4,TV Show,
df874a64-e1fb-44d2-8cca-1834d9416f89,Evil Genius,"Trey Borzillieri, Barbara Schroeder",Docuseries,,United States,2018,TV-MA,1 Season,7.4,TV Show,
df874a64-e1fb-44d2-8cca-1834d9416f89,Evil Genius,"Trey Borzillieri, Barbara Schroeder",TV Mysteries,,United States,2018,TV-MA,1 Season,7.4,TV Show,
f627592f-9d1f-4851-a843-9491fb26df0a,Evvarikee Cheppoddu,Basava Shankar Eeday,Comedies,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,2019,TV-14,134 min,7.3,Movie,2019-11-27
f627592f-9d1f-4851-a843-9491fb26df0a,Evvarikee Cheppoddu,Basava Shankar Eeday,International Movies,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,2019,TV-14,134 min,7.3,Movie,2019-11-27
f627592f-9d1f-4851-a843-9491fb26df0a,Evvarikee Cheppoddu,Basava Shankar Eeday,Romantic Movies,"Rakesh Varre, Gargeyi, Vamsi raj Nekkanti, D P Ghani, K Prasanna",India,2019,TV-14,134 min,7.3,Movie,2019-11-27
f052763c-0bf7-4e76-a9a8-941eff9f5164,Examination of Conscience,,Crime TV Shows,,Spain,2019,TV-MA,1 Season,8.0,TV Show,
f052763c-0bf7-4e76-a9a8-941eff9f5164,Examination of Conscience,,Docuseries,,Spain,2019,TV-MA,1 Season,8.0,TV Show,
f052763c-0bf7-4e76-a9a8-941eff9f5164,Examination of Conscience,,International TV Shows,,Spain,2019,TV-MA,1 Season,8.0,TV Show,
ce545779-d60b-4585-8a20-50e7f6a73b11,Exes Baggage,Dan Villegas,Dramas,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto",Philippines,2018,TV-MA,103 min,6.8,Movie,2020-10-22
ce545779-d60b-4585-8a20-50e7f6a73b11,Exes Baggage,Dan Villegas,International Movies,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto",Philippines,2018,TV-MA,103 min,6.8,Movie,2020-10-22
ce545779-d60b-4585-8a20-50e7f6a73b11,Exes Baggage,Dan Villegas,Romantic Movies,"Angelica Panganiban, Carlo Aquino, Dionne Monsanto",Philippines,2018,TV-MA,103 min,6.8,Movie,2020-10-22
19a161fc-54e5-484b-96ee-bcd116b16b88,Exhibit A,,Crime TV Shows,,United States,2019,TV-MA,1 Season,6.4,TV Show,
19a161fc-54e5-484b-96ee-bcd116b16b88,Exhibit A,,Docuseries,,United States,2019,TV-MA,1 Season,6.4,TV Show,
19a161fc-54e5-484b-96ee-bcd116b16b88,Exhibit A,,Science & Nature TV,,United States,2019,TV-MA,1 Season,6.4,TV Show,
c25dc04b-5eb3-459f-bc2d-ffe494981b83,Expedition China,Ben Wallis,Children & Family Movies,Maggie Q,,2017,TV-G,78 min,6.3,Movie,2018-03-04
c25dc04b-5eb3-459f-bc2d-ffe494981b83,Expedition China,Ben Wallis,Documentaries,Maggie Q,,2017,TV-G,78 min,6.3,Movie,2018-03-04
ec3f45a4-693e-4e36-82f5-980dec21c5dd,Expedition Happiness,Selima Taibi,Documentaries,"Selima Taibi, Felix Starck",Germany,2017,TV-PG,96 min,5.8,Movie,2018-01-31
ec3f45a4-693e-4e36-82f5-980dec21c5dd,Expedition Happiness,Selima Taibi,International Movies,"Selima Taibi, Felix Starck",Germany,2017,TV-PG,96 min,5.8,Movie,2018-01-31
de1c5225-69b4-462b-9f01-3daf444ee8f4,Expelled from Paradise,Seiji Mizushima,Action & Adventure,"Rie Kugimiya, Wendee Lee, Shinichiro Miki, Steve Blum, Hiroshi Kamiya, Johnny Yong Bosch",Japan,2014,TV-MA,103 min,6.6,Movie,2018-06-25
de1c5225-69b4-462b-9f01-3daf444ee8f4,Expelled from Paradise,Seiji Mizushima,Anime Features,"Rie Kugimiya, Wendee Lee, Shinichiro Miki, Steve Blum, Hiroshi Kamiya, Johnny Yong Bosch",Japan,2014,TV-MA,103 min,6.6,Movie,2018-06-25
de1c5225-69b4-462b-9f01-3daf444ee8f4,Expelled from Paradise,Seiji Mizushima,Sci-Fi & Fantasy,"Rie Kugimiya, Wendee Lee, Shinichiro Miki, Steve Blum, Hiroshi Kamiya, Johnny Yong Bosch",Japan,2014,TV-MA,103 min,6.6,Movie,2018-06-25
38798374-580f-4c08-b13e-fb22f2d103ca,Explained,,Docuseries,,United States,2021,TV-MA,3 Seasons,8.0,TV Show,2021-07-16
38798374-580f-4c08-b13e-fb22f2d103ca,Explained,,Science & Nature TV,,United States,2021,TV-MA,3 Seasons,8.0,TV Show,2021-07-16
bc9fe712-5676-4d1f-b240-789ba7d6374a,Extinction,Ben Young,Action & Adventure,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Emma Booth, Lex Shrapnel, Erica Tremblay, Lilly Aspell",United States,2018,TV-MA,95 min,6.0,Movie,2018-07-27
bc9fe712-5676-4d1f-b240-789ba7d6374a,Extinction,Ben Young,Dramas,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Emma Booth, Lex Shrapnel, Erica Tremblay, Lilly Aspell",United States,2018,TV-MA,95 min,6.0,Movie,2018-07-27
bc9fe712-5676-4d1f-b240-789ba7d6374a,Extinction,Ben Young,Sci-Fi & Fantasy,"Michael Peña, Lizzy Caplan, Israel Broussard, Mike Colter, Emma Booth, Lex Shrapnel, Erica Tremblay, Lilly Aspell",United States,2018,TV-MA,95 min,6.0,Movie,2018-07-27
cf9ab9ed-02d4-4687-9d69-390df24b1170,Extraction,Sam Hargrave,Action & Adventure,"Chris Hemsworth, Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi, David Harbour",United States,2020,R,117 min,6.9,Movie,2020-04-24
68bdda32-bd7e-46ab-903f-83e491fb565a,Extracurricular,,Crime TV Shows,"Kim Dong-hee, Jung Da-bin, Park Ju-hyun, Nam Yoon-su, Choi Min-soo, Kim Yeo-jin, Park Hyuk-kwon",South Korea,2020,TV-MA,1 Season,7.8,TV Show,
68bdda32-bd7e-46ab-903f-83e491fb565a,Extracurricular,,International TV Shows,"Kim Dong-hee, Jung Da-bin, Park Ju-hyun, Nam Yoon-su, Choi Min-soo, Kim Yeo-jin, Park Hyuk-kwon",South Korea,2020,TV-MA,1 Season,7.8,TV Show,
68bdda32-bd7e-46ab-903f-83e491fb565a,Extracurricular,,Korean TV Shows,"Kim Dong-hee, Jung Da-bin, Park Ju-hyun, Nam Yoon-su, Choi Min-soo, Kim Yeo-jin, Park Hyuk-kwon",South Korea,2020,TV-MA,1 Season,7.8,TV Show,
c74f9732-419c-4d16-bd3b-90e48aa23ea2,Extreme Engagement,,International TV Shows,"Tim Noonan, PJ Madam",,2019,TV-MA,1 Season,5.8,TV Show,
c74f9732-419c-4d16-bd3b-90e48aa23ea2,Extreme Engagement,,Reality TV,"Tim Noonan, PJ Madam",,2019,TV-MA,1 Season,5.8,TV Show,
68ee3e9f-8cb8-4aa9-9fdf-78150124764b,"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,Dramas,"Zac Efron, Lily Collins, Kaya Scodelario, Jeffrey Donovan, Angela Sarafyan, Jim Parsons, John Malkovich, Haley Joel Osment, Dylan Baker, Brian Geraghty",United States,2019,R,110 min,6.8,Movie,2019-05-03
68ee3e9f-8cb8-4aa9-9fdf-78150124764b,"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,Independent Movies,"Zac Efron, Lily Collins, Kaya Scodelario, Jeffrey Donovan, Angela Sarafyan, Jim Parsons, John Malkovich, Haley Joel Osment, Dylan Baker, Brian Geraghty",United States,2019,R,110 min,6.8,Movie,2019-05-03
702472b7-6708-4eed-b7ca-f1724b39f63f,Extremis,Dan Krauss,Documentaries,,United States,2016,TV-PG,25 min,7.4,Movie,2016-09-13
74d3639a-4f66-4c19-b3c6-5ffc3d0ddabb,Eye For An Eye,Paco Plaza,Dramas,"Luis Tosar, Xan Cejudo, Ismael Martínez, Enric Auquer, María Vázquez, Daniel Currás, Rebeca Montero, Luisa Mayol, Jessica Serna, Tamara Canosa","Spain, France, United States",2019,TV-MA,108 min,6.5,Movie,2020-01-15
74d3639a-4f66-4c19-b3c6-5ffc3d0ddabb,Eye For An Eye,Paco Plaza,International Movies,"Luis Tosar, Xan Cejudo, Ismael Martínez, Enric Auquer, María Vázquez, Daniel Currás, Rebeca Montero, Luisa Mayol, Jessica Serna, Tamara Canosa","Spain, France, United States",2019,TV-MA,108 min,6.5,Movie,2020-01-15
74d3639a-4f66-4c19-b3c6-5ffc3d0ddabb,Eye For An Eye,Paco Plaza,Thrillers,"Luis Tosar, Xan Cejudo, Ismael Martínez, Enric Auquer, María Vázquez, Daniel Currás, Rebeca Montero, Luisa Mayol, Jessica Serna, Tamara Canosa","Spain, France, United States",2019,TV-MA,108 min,6.5,Movie,2020-01-15
1dbac9cc-eb9e-48f9-b221-dbbfd0d777cd,F is for Family,,TV Comedies,"Bill Burr, Laura Dern, Justin Long, Debi Derryberry, Sam Rockwell","United States, France, Canada",2020,TV-MA,4 Seasons,8.0,TV Show,2020-06-12
719b9f88-54fb-4563-9872-4d1fcea0ddc0,F.R.E.D.I.,Sean Olson,Children & Family Movies,"Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos, Reid Miller, Tyler Christopher, Casimere Jollette, Christina Cox, Texas Battle, Harvey Guillen",United States,2018,TV-PG,90 min,5.2,Movie,2018-12-15
719b9f88-54fb-4563-9872-4d1fcea0ddc0,F.R.E.D.I.,Sean Olson,Sci-Fi & Fantasy,"Kelly Hu, Angus Macfadyen, Candace Cameron Bure, Lucius Hoyos, Reid Miller, Tyler Christopher, Casimere Jollette, Christina Cox, Texas Battle, Harvey Guillen",United States,2018,TV-PG,90 min,5.2,Movie,2018-12-15
0a409691-a67f-411b-b468-39db463d4e7c,Fabrizio Copano: Solo pienso en mi,"Rodrigo Toro, Francisco Schultz",Stand-Up Comedy,Fabrizio Copano,Chile,2017,TV-MA,60 min,5.0,Movie,2017-09-08
87861e3b-d8e6-4458-9d61-f538d349e00c,Fabulous Lives of Bollywood Wives,,International TV Shows,,India,2020,TV-MA,1 Season,4.6,TV Show,
87861e3b-d8e6-4458-9d61-f538d349e00c,Fabulous Lives of Bollywood Wives,,Reality TV,,India,2020,TV-MA,1 Season,4.6,TV Show,
b448aa45-cac3-4720-a4c3-7582fb7af7cb,Fadily Camara : La plus drôle de tes copines,Gautier & Leduc,Stand-Up Comedy,Fadily Camara,France,2019,TV-MA,54 min,5.6,Movie,2019-11-14
033f6c60-db52-4886-8801-75529cd582a4,"Faith, Hope & Love",Robert Krantz,Comedies,"Robert Krantz, Peta Murgatroyd, Corbin Bernsen, Michael Richards, Nancy Stafford",United States,2019,PG,106 min,6.3,Movie,2020-02-04
